# Lumina · Performance do Instagram · Período: 01/06/2026 a 30/06/2026
# Resumo da conta no período:
# - Seguidores no início do período: 12480
# - Seguidores no fim do período: 13242
# - Seguidores ganhos: 892
# - Seguidores perdidos: 130
# - Crescimento líquido: 762 (+6,1%)
# - Total de posts publicados: 12
#
# Tabela abaixo: performance individual por post (12 posts)
#
data_publicacao,tipo_post,titulo_headline,linha_editorial,estagio_funil,alcance,impressoes,visualizacoes_video,curtidas,comentarios,salvamentos,compartilhamentos,cliques_link_bio,leads_captados
2026-06-01,Carrossel,"4 mitos sobre suplementação que ainda travam quem treina sério",Mitos e Verdades,NOTAM VOCÊ,18450,24320,0,892,67,1240,412,89,12
2026-06-03,Insight,"Creatina não incha. O que incha é a desinformação sobre creatina.",Mitos e Verdades,NOTAM VOCÊ,15280,19410,0,1124,143,876,298,67,9
2026-06-05,Carrossel,"O que faz a creatina ser a única recomendada por unanimidade científica",Ciência sem palestra,LEMBRAM DE VOCÊ,9870,11240,0,512,38,624,142,45,6
2026-06-08,Carrossel,"Manhã de inverno que começa antes do sol",Ritual da rotina,LEMBRAM DE VOCÊ,7820,9180,0,634,29,231,89,38,4
2026-06-10,Insight,"Suplemento que você esquece de tomar é o mais caro de todos.",Ciência sem palestra,LEMBRAM DE VOCÊ,11340,14220,0,892,82,512,178,52,7
2026-06-12,Framework,"Mapa de suplementação por objetivo: força, recuperação, energia, foco",Ciência sem palestra,SEGUEM VOCÊ,14920,17840,0,1432,124,1876,521,124,18
2026-06-15,Carrossel,"Pós-pilates de quinta às 8h: o ritual completo",Ritual da rotina,SEGUEM VOCÊ,8740,10120,0,712,42,389,124,42,5
2026-06-17,Carrossel,"Por que decidimos não vender suplemento em pó",Bastidores Lumina,CONFIAM EM VOCÊ,12380,14920,0,1024,189,742,287,71,11
2026-06-19,Insight,"Nosso whey gummy foi reformulado 11 vezes antes de chegar ao sabor final.",Bastidores Lumina,CONFIAM EM VOCÊ,9420,11240,0,824,98,412,198,58,8
2026-06-22,Insight,"Inverno não é época de pausar. É época de não perder o que você construiu.",Cultura wellness,PRECISAM DE VOCÊ,10890,13420,0,978,87,624,212,69,9
2026-06-24,Carrossel,"3 sinais de que seu suplemento atual não está funcionando",Mitos e Verdades,PRECISAM DE VOCÊ,13780,16920,0,1187,142,1098,342,98,14
2026-06-26,Carrossel,"Kit completo de inverno: pré-treino, creatina e whey juntos",Produto em movimento,COMPRAM DE VOCÊ,8920,11420,0,624,52,287,98,187,28
